MDXfind algo	hashes.org algo
MD5SQL5-32	MD5CUT0-33MYSQL5LCTOT
MD5SQL5-32	MD5CUT1-32MYSQL5LCTOT
MD5SQL5-32	MD5INS1CUT0-31MYSQL5LCTOT
MD51SALTMD5MD5MD5	MD5(SALTMD5X3(PLAIN))
MD51SALTMD5MD5MD5	MD5(MD5X3(PLAIN)SALT)
MD51SALTMD5MD5MD5	MD5(SALTMD5X3(PLAIN)SALT)
MD51SALTMD5MD5MD5	MD5(SALTSALTMD5X3(PLAIN))
MD51SALTMD5MD5MD5	MD5(MD5X3(PLAIN)SALTSALT)
MD51SALTMD5MD5MD5MD5	MD5(SALTMD5X4(PLAIN))
MD51SALTMD5MD5MD5MD5	MD5(MD5X4(PLAIN)SALT)
MD51SALTMD5MD5MD5MD5	MD5(SALTMD5X4(PLAIN)SALT)
MD51SALTMD5MD5MD5MD5	MD5(SALTSALTMD5X4(PLAIN))
MD51SALTMD5MD5MD5MD5	MD5(MD5X4(PLAIN)SALTSALT)
MD51SALTMD5MD5MD5MD5MD5	MD5(SALTMD5X5(PLAIN))
MD51SALTMD5MD5MD5MD5MD5	MD5(MD5X5(PLAIN)SALT)
MD51SALTMD5MD5MD5MD5MD5	MD5(SALTMD5X5(PLAIN)SALT)
MD51SALTMD5MD5MD5MD5MD5	MD5(SALTSALTMD5X5(PLAIN))
MD51SALTMD5MD5MD5MD5MD5	MD5(MD5X5(PLAIN)SALTSALT)
MD5BASE64ROT13	MD5BASE64RO13
MD5MD5SALT	MD5(MD5(MD5(PLAIN))SALT)
MD52SALTMD5MD5	MD5(CUT0-1(SALT)MD5X2(PLAIN)CUT1-1(SALT))
MD52SALTMD5MD5	MD5(SALTMD5X2(PLAIN))
MD52SALTMD5MD5	MD5(MD5X2(PLAIN)SALT)
MD52SALTMD5MD5MD5	MD5(CUT0-1(SALT)MD5X3(PLAIN)CUT1-1(SALT))
MD52SALTMD5MD5MD5	MD5(SALTMD5X3(PLAIN))
MD52SALTMD5MD5MD5	MD5(MD5X3(PLAIN)SALT)
MD5UCSALT	MD5(UC(MD5(PLAIN))SALT)
MD5TIGER	MD5TIGER192-3
MD5SHA1MD5PASS	MD5(SHA1(MD5(PLAIN))PLAIN)
MD5CAP	MD5CAPMD5
MD5CAPMD5USER	MD5(CAPMD5(PLAIN)SALT)
MD5CAPMD5USER	MD5(CAPMD5(PLAIN)INSDPSALT)
MD5CAPMD5MD5USER	MD5(CAPMD5(CAPMD5(PLAIN))SALT)
MD5CAPMD5MD5USER	MD5(CAPMD5(CAPMD5(PLAIN))INSDPSALT)
MD5MD5MD5USER	MD5(MD5(MD5(PLAIN))SALT)
MD5MD5MD5USER	MD5(MD5(MD5(PLAIN))INSDPSALT)
MD5MD5SALT:SALT	MD5(MD5(PLAINSALT)INSDPSALT)
MD5CAPSHA1	MD5CAPSHA1
MD5SHA1MD5x	MD5SHA1MD5
MD5SHA1BASE64MD5RAW	MD5SHA1BASE64RAWMD5
MD5SHA1MD5MD5SHA1	MD5SHA1MD5MD5SHA1
